の, 助詞,連体化,*,*,*,*,の,ノ,ノ
選手村, 名詞,固有名詞,地域,一般,*,*,選手村,センシュムラ,センシュムラ
サー, 名詞,固有名詞,人名,一般,*,*,サー,サー,サー
ブラッド・ウェンストラップ, 名詞,一般,*,*,*,*,*
‘, 記号,括弧開,*,*,*,*,‘,‘,‘
デラウェア, 名詞,固有名詞,地域,一般,*,*,デラウェア,デラウェア,デラウェア
現, 接頭詞,名詞接続,*,*,*,*,現,ゲン,ゲン
年下, 名詞,一般,*,*,*,*,年下,トシシタ,トシシタ
チェックマーク, 名詞,固有名詞,一般,*,*,*,チェックマーク,チェックマーク,チェックマーク
attacking, 名詞,一般,*,*,*,*,*
妹, 名詞,一般,*,*,*,*,妹,イモウト,イモート
威力, 名詞,一般,*,*,*,*,威力,イリョク,イリョク
空中, 名詞,一般,*,*,*,*,空中,クウチュウ,クーチュー
緊密, 名詞,形容動詞語幹,*,*,*,*,緊密,キンミツ,キンミツ
うねり, 名詞,一般,*,*,*,*,うねり,ウネリ,ウネリ
ミエ, 名詞,固有名詞,人名,名,*,*,ミエ,ミエ,ミエ
キング, 名詞,固有名詞,人名,姓,*,*,キング,キング,キング
自動, 名詞,一般,*,*,*,*,自動,ジドウ,ジドー
ヘルムート・コール, 名詞,固有名詞,一般,*,*,*,ヘルムート・コール,ヘルムートコール,ヘルムートコール
スペイン語, 名詞,固有名詞,一般,*,*,*,スペイン語,スペインゴ,スペインゴ
益, 名詞,接尾,一般,*,*,*,益,エキ,エキ
動き, 名詞,一般,*,*,*,*,動き,ウゴキ,ウゴキ
Rodriguez, 名詞,一般,*,*,*,*,*
陸路, 名詞,副詞可能,*,*,*,*,陸路,リクロ,リクロ
国連, 名詞,固有名詞,組織,*,*,*,国連,コクレン,コクレン
幸せ, 名詞,形容動詞語幹,*,*,*,*,幸せ,シアワセ,シアワセ
仰い, 動詞,自立,*,*,五段・ガ行,連用タ接続,仰ぐ,アオイ,アオイ
率直, 名詞,形容動詞語幹,*,*,*,*,率直,ソッチョク,ソッチョク
員, 名詞,接尾,一般,*,*,*,員,イン,イン
生鮮食料品, 名詞,固有名詞,一般,*,*,*,生鮮食料品,セイセンショクリョウヒン,セイセンショクリョーヒン
ジェームズ, 名詞,固有名詞,人名,名,*,*,ジェームズ,ジェームズ,ジェームズ
激化, 名詞,サ変接続,*,*,*,*,激化,ゲキカ,ゲキカ
基, 名詞,一般,*,*,*,*,基,モト,モト
署長, 名詞,一般,*,*,*,*,署長,ショチョウ,ショチョー
圏, 名詞,接尾,一般,*,*,*,圏,ケン,ケン
数カ月, 名詞,一般,*,*,*,*,数カ月,スウカゲツ,スーカゲツ
建築学科, 名詞,固有名詞,一般,*,*,*,建築学科,ケンチクガッカ,ケンチクガッカ
す, 動詞,自立,*,*,サ変・スル,文語基本形,する,ス,ス
ハリージ, 名詞,一般,*,*,*,*,*
ベルムデス, 名詞,固有名詞,一般,*,*,*,ベルムデス,ベルムデス,ベルムデス
有利, 名詞,形容動詞語幹,*,*,*,*,有利,ユウリ,ユーリ
間もなく, 副詞,助詞類接続,*,*,*,*,間もなく,マモナク,マモナク
担当者, 名詞,固有名詞,一般,*,*,*,担当者,タントウシャ,タントーシャ
挙式, 名詞,サ変接続,*,*,*,*,挙式,キョシキ,キョシキ
カタール航空, 名詞,固有名詞,一般,*,*,*,カタール航空,カタールコウクウ,カタールコウクー
香港, 名詞,固有名詞,地域,一般,*,*,香港,ホンコン,ホンコン
陰謀, 名詞,一般,*,*,*,*,陰謀,インボウ,インボー
マイク・クイグリー, 名詞,一般,*,*,*,*,*
助け出し, 動詞,自立,*,*,五段・サ行,連用形,助け出す,タスケダシ,タスケダシ
大まか, 名詞,形容動詞語幹,*,*,*,*,大まか,オオマカ,オーマカ
アレハンドロ, 名詞,固有名詞,一般,*,*,*,アレハンドロ,アレハンドロ,アレハンドロ
手引き, 名詞,一般,*,*,*,*,手引き,テビキ,テビキ
材料, 名詞,一般,*,*,*,*,材料,ザイリョウ,ザイリョー
中国国家統計局, 名詞,固有名詞,一般,*,*,*,中国国家統計局,チュウゴクコッカトウケイキョク,チューゴクコッカトーケイキョク
Street, 名詞,一般,*,*,*,*,*
パンクチュエーション, 名詞,一般,*,*,*,*,*
暮らす, 動詞,自立,*,*,五段・サ行,基本形,暮らす,クラス,クラス
え, 動詞,非自立,*,*,一段,未然形,える,エ,エ
Rincon, 名詞,一般,*,*,*,*,*
Tower, 名詞,一般,*,*,*,*,*
政権運営, 名詞,固有名詞,一般,*,*,*,政権運営,セイケンウンエイ,セイケンウンエイ
国交断絶, 名詞,固有名詞,一般,*,*,*,国交断絶,コッコウダンゼツ,コッコーダンゼツ
つながっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,つながる,ツナガッ,ツナガッ
健在, 名詞,形容動詞語幹,*,*,*,*,健在,ケンザイ,ケンザイ
ＤＭＺ, 名詞,固有名詞,組織,*,*,*,*
鉉栢, 名詞,一般,*,*,*,*,*
破裂, 名詞,サ変接続,*,*,*,*,破裂,ハレツ,ハレツ
追悼, 名詞,サ変接続,*,*,*,*,追悼,ツイトウ,ツイトー
どこ, 名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ
◆, 記号,一般,*,*,*,*,◆,◆,◆
黒瀬, 名詞,固有名詞,人名,姓,*,*,黒瀬,クロセ,クロセ
ブログ, 名詞,固有名詞,一般,*,*,*,blog,ブログ,ブログ
リスボン条約, 名詞,固有名詞,一般,*,*,*,リスボン条約,リスボンジョウヤク,リスボンジョーヤク
たった, 副詞,助詞類接続,*,*,*,*,たった,タッタ,タッタ
クリス, 名詞,固有名詞,人名,名,*,*,クリス,クリス,クリス
身長, 名詞,一般,*,*,*,*,身長,シンチョウ,シンチョー
食い, 動詞,自立,*,*,五段・ワ行促音便,連用形,食う,クイ,クイ
ハモンド, 名詞,固有名詞,一般,*,*,*,Hammond,ハモンド,ハモンド
オーストラリア, 名詞,固有名詞,地域,国,*,*,オーストラリア,オーストラリア,オーストラリア
哨所, 名詞,一般,*,*,*,*,*
未満, 名詞,接尾,一般,*,*,*,未満,ミマン,ミマン
この世, 名詞,一般,*,*,*,*,この世,コノヨ,コノヨ
労働者, 名詞,固有名詞,一般,*,*,*,労働者,ロウドウシャ,ロードーシャ
名称, 名詞,一般,*,*,*,*,名称,メイショウ,メイショー
最大規模, 名詞,固有名詞,一般,*,*,*,最大規模,サイダイキボ,サイダイキボ
フィード, 名詞,一般,*,*,*,*,フィード,フィード,フィード
ねじ, 名詞,一般,*,*,*,*,ねじ,ネジ,ネジ
自信, 名詞,一般,*,*,*,*,自信,ジシン,ジシン
難し, 形容詞,自立,*,*,形容詞・イ段,ガル接続,難しい,ムズカシ,ムズカシ
不快, 名詞,形容動詞語幹,*,*,*,*,不快,フカイ,フカイ
打席, 名詞,一般,*,*,*,*,打席,ダセキ,ダセキ
抗戦, 名詞,サ変接続,*,*,*,*,抗戦,コウセン,コーセン
技術開発, 名詞,固有名詞,一般,*,*,*,技術開発,ギジュツカイハツ,ギジュツカイハツ
クルディスタン地域, 名詞,固有名詞,一般,*,*,*,クルディスタン地域,クルディスタンチイキ,クルディスタンチーキ
高齢者, 名詞,固有名詞,一般,*,*,*,高齢者,コウレイシャ,コーレイシャ
管轄権, 名詞,固有名詞,一般,*,*,*,管轄権,カンカツケン,カンカツケン
越える, 動詞,自立,*,*,一段,基本形,越える,コエル,コエル
一貫, 名詞,サ変接続,*,*,*,*,一貫,イッカン,イッカン
声援, 名詞,サ変接続,*,*,*,*,声援,セイエン,セイエン
大筋, 名詞,一般,*,*,*,*,大筋,オオスジ,オースジ
命じる, 動詞,自立,*,*,一段,基本形,命じる,メイジル,メイジル
田原徳容, 名詞,固有名詞,人名,一般,*,*,田原徳容,タハラヨシヒロ,タハラヨシヒロ
1955年, 名詞,固有名詞,一般,*,*,*,1955年,センキュウヒャクゴジュウゴネン,センキュウヒャクゴジュウゴネン
いき, 動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ
執事, 名詞,一般,*,*,*,*,執事,シツジ,シツジ
徐州市, 名詞,固有名詞,一般,*,*,*,徐州市,ジョシュウシ,ジョシューシ
業績, 名詞,一般,*,*,*,*,業績,ギョウセキ,ギョーセキ
Florida, 名詞,固有名詞,組織,*,*,*,*
待た, 動詞,自立,*,*,五段・タ行,未然形,待つ,マタ,マタ
トラス, 名詞,固有名詞,一般,*,*,*,TRUSS,トラス,トラス
accept, 名詞,固有名詞,一般,*,*,*,accept,アクセプト,アクセプト
容認, 名詞,サ変接続,*,*,*,*,容認,ヨウニン,ヨーニン
迷子, 名詞,一般,*,*,*,*,迷子,マイゴ,マイゴ
さかのぼる, 動詞,自立,*,*,五段・ラ行,基本形,さかのぼる,サカノボル,サカノボル
コミュニティー, 名詞,一般,*,*,*,*,コミュニティー,コミュニティー,コミュニティー
4回, 名詞,固有名詞,一般,*,*,*,4回,ヨンカイ,ヨンカイ
トップ, 名詞,一般,*,*,*,*,トップ,トップ,トップ
避ける, 動詞,自立,*,*,一段,基本形,避ける,サケル,サケル
漏電, 名詞,サ変接続,*,*,*,*,漏電,ロウデン,ローデン
通り, 名詞,接尾,一般,*,*,*,通り,ドオリ,ドーリ
知り合い, 名詞,一般,*,*,*,*,知り合い,シリアイ,シリアイ
ビザ, 名詞,一般,*,*,*,*,ビザ,ビザ,ビザ
判断, 名詞,サ変接続,*,*,*,*,判断,ハンダン,ハンダン
総額, 名詞,一般,*,*,*,*,総額,ソウガク,ソーガク
兆, 名詞,数,*,*,*,*,兆,チョウ,チョー
◎, 記号,一般,*,*,*,*,◎,◎,◎
論評, 名詞,サ変接続,*,*,*,*,論評,ロンピョウ,ロンピョー
Comey, 名詞,一般,*,*,*,*,*
画面, 名詞,一般,*,*,*,*,画面,ガメン,ガメン
口答, 名詞,一般,*,*,*,*,口答,コウトウ,コートー
Foundation, 名詞,一般,*,*,*,*,*
シャー・サハリフ, 名詞,固有名詞,一般,*,*,*,*
点滅, 名詞,サ変接続,*,*,*,*,点滅,テンメツ,テンメツ
ダグアウト, 名詞,固有名詞,人名,一般,*,*,Dugout,ダグアウト,ダグアウト
上演, 名詞,サ変接続,*,*,*,*,上演,ジョウエン,ジョーエン
両者, 名詞,一般,*,*,*,*,両者,リョウシャ,リョーシャ
直樹, 名詞,固有名詞,人名,名,*,*,直樹,ナオキ,ナオキ
男子, 名詞,一般,*,*,*,*,男子,ダンシ,ダンシ
行お, 動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,行う,オコナオ,オコナオ
ウォーホル, 名詞,固有名詞,人名,姓,*,*,ウォーホル,ウォーホル,ウォーホル
マッチョ, 名詞,固有名詞,一般,*,*,*,マッチョ,マッチョ,マッチョ
デイビッド, 名詞,固有名詞,人名,一般,*,*,デイビッド,デイビッド,デイビッド
自国, 名詞,一般,*,*,*,*,自国,ジコク,ジコク
違い, 名詞,ナイ形容詞語幹,*,*,*,*,違い,チガイ,チガイ
大学生, 名詞,一般,*,*,*,*,大学生,ダイガクセイ,ダイガクセイ
16時間後, 名詞,固有名詞,一般,*,*,*,16時間後,ジュウロクジカンゴ,ジュウロクジカンゴ
武装勢力, 名詞,固有名詞,一般,*,*,*,武装勢力,ブソウセイリョク,ブソーセイリョク
こなし, 動詞,自立,*,*,五段・サ行,連用形,こなす,コナシ,コナシ
手法, 名詞,一般,*,*,*,*,手法,シュホウ,シュホー
ギャラリー, 名詞,一般,*,*,*,*,ギャラリー,ギャラリー,ギャラリー
Haley, 名詞,一般,*,*,*,*,*
上る, 動詞,自立,*,*,五段・ラ行,基本形,上る,ノボル,ノボル
たかっ, 助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカッ,タカッ
コロンビア大学, 名詞,固有名詞,組織,*,*,*,コロンビア大学,コロンビアダイガク,コロンビアダイガク
説く, 動詞,自立,*,*,五段・カ行イ音便,基本形,説く,トク,トク
たび, 名詞,非自立,副詞可能,*,*,*,たび,タビ,タビ
活動家, 名詞,固有名詞,一般,*,*,*,活動家,カツドウカ,カツドーカ
宿泊, 名詞,サ変接続,*,*,*,*,宿泊,シュクハク,シュクハク
保存, 名詞,サ変接続,*,*,*,*,保存,ホゾン,ホゾン
ＣＮＮＭｏｎｅｙ, 名詞,固有名詞,組織,*,*,*,*
8割, 名詞,固有名詞,一般,*,*,*,8割,ハチワリ,ハチワリ
アラブ首長国連邦, 名詞,固有名詞,一般,*,*,*,アラブ首長国連邦,アラブシュチョウコクレンポウ,アラブシュチョーコクレンポー
交わさ, 動詞,自立,*,*,五段・サ行,未然形,交わす,カワサ,カワサ
愛, 名詞,接尾,一般,*,*,*,愛,アイ,アイ
送る, 動詞,自立,*,*,五段・ラ行,基本形,送る,オクル,オクル
めぐる, 動詞,自立,*,*,五段・ラ行,基本形,めぐる,メグル,メグル
テロ組織, 名詞,固有名詞,一般,*,*,*,テロ組織,テロソシキ,テロソシキ
兆候, 名詞,一般,*,*,*,*,兆候,チョウコウ,チョーコー
次ぐ, 動詞,自立,*,*,五段・ガ行,基本形,次ぐ,ツグ,ツグ
メジャー, 名詞,一般,*,*,*,*,メジャー,メジャー,メジャー
阿鼻叫喚, 名詞,一般,*,*,*,*,阿鼻叫喚,アビキョウカン,アビキョーカン
誤っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,誤る,アヤマッ,アヤマッ
ラパンダイ・フーズ, 名詞,一般,*,*,*,*,*
地面, 名詞,一般,*,*,*,*,地面,ジメン,ジメン
読点, 名詞,一般,*,*,*,*,読点,トウテン,トーテン
2006年, 名詞,固有名詞,一般,*,*,*,2006年,ニセンロクネン,ニセンロクネン
惨敗, 名詞,サ変接続,*,*,*,*,惨敗,ザンパイ,ザンパイ
某, 接頭詞,名詞接続,*,*,*,*,某,ボウ,ボー
旅, 名詞,サ変接続,*,*,*,*,旅,タビ,タビ
しかる, 動詞,自立,*,*,五段・ラ行,基本形,しかる,シカル,シカル
増額, 名詞,サ変接続,*,*,*,*,増額,ゾウガク,ゾーガク
させ, 動詞,接尾,*,*,一段,未然形,させる,サセ,サセ
自己, 名詞,一般,*,*,*,*,自己,ジコ,ジコ
シンガポール支局, 名詞,固有名詞,一般,*,*,*,シンガポール支局,シンガポールシキョク,シンガポールシキョク
経済発展, 名詞,固有名詞,一般,*,*,*,経済発展,ケイザイハッテン,ケイザイハッテン
材, 名詞,接尾,一般,*,*,*,材,ザイ,ザイ
スポンサーシップ, 名詞,固有名詞,一般,*,*,*,スポンサーシップ,スポンサーシップ,スポンサーシップ
おおまか, 名詞,形容動詞語幹,*,*,*,*,おおまか,オオマカ,オーマカ
並ぶ, 動詞,自立,*,*,五段・バ行,基本形,並ぶ,ナラブ,ナラブ
払拭, 名詞,サ変接続,*,*,*,*,払拭,フッショク,フッショク
燃え広がっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,燃え広がる,モエヒロガッ,モエヒロガッ
思いとどまっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,思いとどまる,オモイトドマッ,オモイトドマッ
創業, 名詞,サ変接続,*,*,*,*,創業,ソウギョウ,ソーギョー
あり方, 名詞,一般,*,*,*,*,あり方,アリカタ,アリカタ
1960年代, 名詞,固有名詞,一般,*,*,*,1960年代,センキュウヒャクロクジュウネンダ,センキュウヒャクロクジュウネンダ
ラウンド, 名詞,接尾,助数詞,*,*,*,ラウンド,ラウンド,ラウンド
覚醒, 名詞,サ変接続,*,*,*,*,覚醒,カクセイ,カクセイ
伝記, 名詞,一般,*,*,*,*,伝記,デンキ,デンキ
民兵, 名詞,一般,*,*,*,*,民兵,ミンペイ,ミンペイ
執行官, 名詞,一般,*,*,*,*,執行官,シッコウカン,シッコーカン
あらゆる, 連体詞,*,*,*,*,*,あらゆる,アラユル,アラユル
労働, 名詞,サ変接続,*,*,*,*,労働,ロウドウ,ロードー
Everest, 名詞,固有名詞,一般,*,*,*,Everest,エベレスト,エベレスト
敵対勢力, 名詞,固有名詞,一般,*,*,*,敵対勢力,テキタイセイリョク,テキタイセイリョク
異なる, 動詞,自立,*,*,五段・ラ行,基本形,異なる,コトナル,コトナル
1年半, 名詞,固有名詞,一般,*,*,*,1年半,イチネンハン,イチネンハン
番組, 名詞,一般,*,*,*,*,番組,バングミ,バングミ
史, 名詞,接尾,一般,*,*,*,史,シ,シ
細かい, 形容詞,自立,*,*,形容詞・アウオ段,基本形,細かい,コマカイ,コマカイ
蔡英文政権, 名詞,固有名詞,一般,*,*,*,蔡英文政権,サイエイブンセイケン,サイエイブンセイケン
撤回, 名詞,サ変接続,*,*,*,*,撤回,テッカイ,テッカイ
前例, 名詞,一般,*,*,*,*,前例,ゼンレイ,ゼンレイ
リン, 名詞,固有名詞,一般,*,*,*,リン,リン,リン
Priebus, 名詞,一般,*,*,*,*,*
打撃, 名詞,一般,*,*,*,*,打撃,ダゲキ,ダゲキ
収支, 名詞,一般,*,*,*,*,収支,シュウシ,シューシ
句読点, 名詞,一般,*,*,*,*,句読点,クトウテン,クトーテン
政治記者, 名詞,固有名詞,一般,*,*,*,政治記者,セイジキシャ,セイジキシャ
書き込ま, 動詞,自立,*,*,五段・マ行,未然形,書き込む,カキコマ,カキコマ
確か, 名詞,形容動詞語幹,*,*,*,*,確か,タシカ,タシカ
ミュージックビデオ, 名詞,一般,*,*,*,*,ミュージックビデオ,ミュージックビデオ,ミュージックビデオ
急い, 動詞,自立,*,*,五段・ガ行,連用タ接続,急ぐ,イソイ,イソイ
食べる, 動詞,自立,*,*,一段,基本形,食べる,タベル,タベル
非営利組織, 名詞,固有名詞,一般,*,*,*,非営利組織,ヒエイリソシキ,ヒエイリソシキ
Manuel, 名詞,固有名詞,組織,*,*,*,*
出入り口, 名詞,一般,*,*,*,*,出入り口,デイリグチ,デイリグチ
安全性, 名詞,固有名詞,一般,*,*,*,安全性,アンゼンセイ,アンゼンセイ
後半, 名詞,副詞可能,*,*,*,*,後半,コウハン,コーハン
ＲＵＭＰＭＡＫＥＡＭＥＲＩＣＡＧＲＥＡＴＡＧＡＩＮ, 名詞,固有名詞,組織,*,*,*,*
一方的, 名詞,固有名詞,一般,*,*,*,一方的,イッポウテキ,イッポーテキ
Victor Hugo, 名詞,固有名詞,一般,*,*,*,Victor Hugo,ヴィクトルユーゴー,ヴィクトルユーゴー
計画書, 名詞,固有名詞,一般,*,*,*,計画書,ケイカクショ,ケイカクショ
あなた, 名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ
下手, 名詞,形容動詞語幹,*,*,*,*,下手,ヘタ,ヘタ
Cundy, 名詞,一般,*,*,*,*,*
中国本土, 名詞,固有名詞,一般,*,*,*,中国本土,チュウゴクホンド,チューゴクホンド
統一, 名詞,サ変接続,*,*,*,*,統一,トウイツ,トーイツ
降伏, 名詞,サ変接続,*,*,*,*,降伏,コウフク,コーフク
推定, 名詞,サ変接続,*,*,*,*,推定,スイテイ,スイテイ
全て, 名詞,副詞可能,*,*,*,*,全て,スベテ,スベテ
ロイター通信, 名詞,固有名詞,組織,*,*,*,ロイター通信,ロイターツウシン,ロイターツーシン
ロイヤル・ホロウェイ, 名詞,固有名詞,一般,*,*,*,ロイヤル・ホロウェイ,ロイヤルホロウェイ,ロイヤルホロウェイ
財政, 名詞,一般,*,*,*,*,財政,ザイセイ,ザイセイ
視察, 名詞,サ変接続,*,*,*,*,視察,シサツ,シサツ
追い込ま, 動詞,自立,*,*,五段・マ行,未然形,追い込む,オイコマ,オイコマ
現職, 名詞,一般,*,*,*,*,現職,ゲンショク,ゲンショク
現地時間, 名詞,固有名詞,一般,*,*,*,現地時間,ゲンチジカン,ゲンチジカン
登山家, 名詞,固有名詞,一般,*,*,*,登山家,トザンカ,トザンカ
教え, 名詞,一般,*,*,*,*,教え,オシエ,オシエ
デルタ航空, 名詞,固有名詞,組織,*,*,*,デルタ航空,デルタコウクウ,デルタコウクー
判決, 名詞,サ変接続,*,*,*,*,判決,ハンケツ,ハンケツ
模索, 名詞,サ変接続,*,*,*,*,模索,モサク,モサク
粉ミルク, 名詞,一般,*,*,*,*,粉ミルク,コナミルク,コナミルク
上海ディズニーリゾート, 名詞,固有名詞,一般,*,*,*,上海ディズニーリゾート,シャンハイディズニーリゾート,シャンハイディズニーリゾート
市当局, 名詞,固有名詞,一般,*,*,*,市当局,シトウキョク,シトーキョク
服役, 名詞,サ変接続,*,*,*,*,服役,フクエキ,フクエキ
公営, 名詞,一般,*,*,*,*,公営,コウエイ,コーエイ
タリバン, 名詞,固有名詞,一般,*,*,*,タリバン,タリバン,タリバン
とどまれ, 動詞,自立,*,*,五段・ラ行,仮定形,とどまる,トドマレ,トドマレ
出廷, 名詞,サ変接続,*,*,*,*,出廷,シュッテイ,シュッテイ
郭, 名詞,固有名詞,人名,姓,*,*,郭,カク,カク
恩赦, 名詞,一般,*,*,*,*,恩赦,オンシャ,オンシャ
10分間, 名詞,固有名詞,一般,*,*,*,10分間,ジュップン,ジュップン
服, 名詞,一般,*,*,*,*,服,フク,フク
に従って, 助詞,格助詞,連語,*,*,*,に従って,ニシタガッテ,ニシタガッテ
Virginia, 名詞,固有名詞,人名,一般,*,*,VIRGINIA,バージニア,バージニア
慰安婦, 名詞,固有名詞,一般,*,*,*,慰安婦,イアンフ,イアンフ
勉強, 名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー
全米オープン, 名詞,固有名詞,一般,*,*,*,全米オープン,ゼンベイオープン,ゼンベイオープン
関税, 名詞,一般,*,*,*,*,関税,カンゼイ,カンゼイ
経済界, 名詞,固有名詞,一般,*,*,*,経済界,ケイザイカイ,ケイザイカイ
テキサス州, 名詞,固有名詞,一般,*,*,*,テキサス州,テキサスシュウ,テキサスシュー
16歳, 名詞,固有名詞,一般,*,*,*,16歳,ジュウロッサイ,ジュウロッサイ
先送り, 名詞,サ変接続,*,*,*,*,先送り,サキオクリ,サキオクリ
デュシャン, 名詞,固有名詞,一般,*,*,*,デュシャン,デュシャン,デュシャン
業種, 名詞,一般,*,*,*,*,業種,ギョウシュ,ギョーシュ
参考書, 名詞,固有名詞,一般,*,*,*,参考書,サンコウショ,サンコーショ
話し合う, 動詞,自立,*,*,五段・ワ行促音便,基本形,話し合う,ハナシアウ,ハナシアウ
認める, 動詞,自立,*,*,一段,基本形,認める,ミトメル,ミトメル
稲垣, 名詞,固有名詞,人名,姓,*,*,稲垣,イナガキ,イナガキ
弾劾, 名詞,サ変接続,*,*,*,*,弾劾,ダンガイ,ダンガイ
イスラム教, 名詞,固有名詞,一般,*,*,*,イスラム教,イスラムキョウ,イスラムキョー
閣外協力, 名詞,固有名詞,一般,*,*,*,閣外協力,カクガイキョウリョク,カクガイキョーリョク
アデナウアー, 名詞,一般,*,*,*,*,*
話し方, 名詞,一般,*,*,*,*,話し方,ハナシカタ,ハナシカタ
急きょ, 副詞,助詞類接続,*,*,*,*,急きょ,キュウキョ,キューキョ
保守系メディア, 名詞,固有名詞,一般,*,*,*,保守系メディア,ホシュケイメディア,ホシュケイメディア
ドゥテルテ, 名詞,固有名詞,人名,姓,*,*,ドゥテルテ,ドゥテルテ,ドゥテルテ
発射, 名詞,サ変接続,*,*,*,*,発射,ハッシャ,ハッシャ
Damian, 名詞,固有名詞,組織,*,*,*,*
資格, 名詞,一般,*,*,*,*,資格,シカク,シカク
ケーキ, 名詞,一般,*,*,*,*,ケーキ,ケーキ,ケーキ
乗員, 名詞,一般,*,*,*,*,乗員,ジョウイン,ジョーイン
ダメ出し, 名詞,固有名詞,一般,*,*,*,ダメ出し,ダメダシ,ダメダシ
大量殺人, 名詞,固有名詞,一般,*,*,*,大量殺人,タイリョウサツジン,タイリョーサツジン
青い, 形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ
生産量, 名詞,固有名詞,一般,*,*,*,生産量,セイサンリョウ,セイサンリョー
時半, 名詞,接尾,助数詞,*,*,*,時半,ジハン,ジハン
規制, 名詞,サ変接続,*,*,*,*,規制,キセイ,キセイ
加わら, 動詞,自立,*,*,五段・ラ行,未然形,加わる,クワワラ,クワワラ
訳注, 名詞,一般,*,*,*,*,訳注,ヤクチュウ,ヤクチュー
730人, 名詞,固有名詞,一般,*,*,*,730人,ナナヒャクサンジュウニン,ナナヒャクサンジュウニン
緊縮財政, 名詞,固有名詞,一般,*,*,*,緊縮財政,キンシュクザイセイ,キンシュクザイセイ
見つかる, 動詞,自立,*,*,五段・ラ行,基本形,見つかる,ミツカル,ミツカル
共和政, 名詞,固有名詞,一般,*,*,*,共和政,キョウワセイ,キョーワセイ
人前, 名詞,一般,*,*,*,*,人前,ヒトマエ,ヒトマエ
ハードブレグジット, 名詞,固有名詞,一般,*,*,*,hard Brexit,ハードブレグジット,ハードブレグジット
優れ, 動詞,自立,*,*,一段,連用形,優れる,スグレ,スグレ
議会承認, 名詞,固有名詞,一般,*,*,*,議会承認,ギカイショウニン,ギカイショーニン
首席補佐官, 名詞,固有名詞,一般,*,*,*,首席補佐官,シュセキホサカン,シュセキホサカン
仲介, 名詞,サ変接続,*,*,*,*,仲介,チュウカイ,チューカイ
市場, 名詞,一般,*,*,*,*,市場,シジョウ,シジョー
ベルリンの壁崩壊, 名詞,固有名詞,一般,*,*,*,ベルリンの壁崩壊,ベルリンノカベホウカイ,ベルリンノカベホーカイ
含み, 名詞,一般,*,*,*,*,含み,フクミ,フクミ
探す, 動詞,自立,*,*,五段・サ行,基本形,探す,サガス,サガス
名誉党首, 名詞,固有名詞,一般,*,*,*,名誉党首,メイヨトウシュ,メイヨトーシュ
Viva, 名詞,固有名詞,組織,*,*,*,*
損害, 名詞,サ変接続,*,*,*,*,損害,ソンガイ,ソンガイ
司法, 名詞,一般,*,*,*,*,司法,シホウ,シホー
外交部長, 名詞,固有名詞,一般,*,*,*,外交部長,ガイコウブチョウ,ガイコーブチョー
Doha, 名詞,固有名詞,組織,*,*,*,*
Bob Dylan, 名詞,固有名詞,一般,*,*,*,Bob Dylan,ボブディラン,ボブディラン
BFM, 名詞,固有名詞,組織,*,*,*,*
ベル, 名詞,固有名詞,人名,姓,*,*,ベル,ベル,ベル
さらなる, 連体詞,*,*,*,*,*,さらなる,サラナル,サラナル
ウエストチェスター, 名詞,固有名詞,一般,*,*,*,ウエストチェスター,ウエストチェスター,ウエストチェスター
過剰, 名詞,形容動詞語幹,*,*,*,*,過剰,カジョウ,カジョー
New York, 名詞,固有名詞,一般,*,*,*,New York,ニューヨーク,ニューヨーク
1000万円, 名詞,固有名詞,一般,*,*,*,1000万円,センマンエン,センマンエン
オールド・ポスト・オフィス, 名詞,固有名詞,地域,一般,*,*,オールド・ポスト・オフィス,オールドポストオフィス,オールドポストオフィス
行事, 名詞,一般,*,*,*,*,行事,ギョウジ,ギョージ
性差別, 名詞,固有名詞,一般,*,*,*,性差別,セイサベツ,セイサベツ
ざっと, 副詞,一般,*,*,*,*,ざっと,ザット,ザット
改め, 動詞,自立,*,*,一段,連用形,改める,アラタメ,アラタメ
Tennessee, 名詞,固有名詞,組織,*,*,*,*
出来事, 名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト
CIA, 名詞,固有名詞,一般,*,*,*,CIA,シィーアイエー,シィーアイエー
前進, 名詞,サ変接続,*,*,*,*,前進,ゼンシン,ゼンシン
朝日新聞国際報道部, 名詞,固有名詞,人名,一般,*,*,朝日新聞国際報道部,アサヒシンブンコクサイホウドウブ,アサヒシンブンコクサイホードーブ
徹底的, 名詞,形容動詞語幹,*,*,*,*,徹底的,テッテイテキ,テッテイテキ
何らかの, 連体詞,*,*,*,*,*,何らかの,ナンラカノ,ナンラカノ
記し, 動詞,自立,*,*,五段・サ行,連用形,記す,シルシ,シルシ
変え, 動詞,自立,*,*,一段,連用形,変える,カエ,カエ
Michael, 名詞,固有名詞,組織,*,*,*,*
