no,title,mean
137,カツマー,カツマーとは、女性を表す言葉です。【意味】勝間和代さんに憧れ、彼女の著書等を実践している女性のこと。勝間さんは経済評論家、ワーキングマザー、公認会計士などの顔を持ち、多くの働く女性から支持されている。ツーキニストとしても有名。一方、「本当に実践するとかえってストレスが溜まるのでは？」という意見もある。【由来】勝間（カツマ）+　人を表す『er』カツマー【使用例】「カツマーは強い女性のイメージがあるよね。」関連書籍断る力 (文春新書)posted with ヨメレバ勝間 和代 文藝春秋 2009-02-19    AmazonKindle楽天ブックスhontoブックオフe-hon図書館ズルい仕事術posted with ヨメレバ勝間 和代 ディスカヴァー・トゥエンティワン 2011-12-16    AmazonKindle楽天ブックスhontoブックオフe-hon図書館
138,カニバる,カニバるとは、ビジネスで使われる言葉です。【意味】競合する、被っていること。元々は、同企業の商品でシェアを奪うこと（フロッピーを作っていた会社がもっと便利なUSBメモリーを作る等）。それが「他社と競合する」という【意味】に派生した。【由来】カーニバルではなく、共食いを【意味】する『カニバリズム』+動詞化『る』カニバる【使用例】「ウチの会社カニバってる商品多いからな～。」
139,がんぶー,【意味】がんぶーとは、顔面ブサイクの略。相手を否定する言葉なので、使用には注意が必要。関連語：ガンブロン【由来】顔面ブサイクがんぶー【使用例】「がんぶーでぎってるくせにちょづくんじゃねーよ」=顔が不細工で、油でテカっている（=ぎってる）くせに調子に乗らないで下さい。
140,ガンブロン,ガンブロンとは、若い女性が使う若者言葉です。【意味】顔が不細工で髪の長い男性のこと。顔面不細工のロン毛（髪が長い）の略。本当にひどい場合は、頭に超をつけて『チョガンブロン』とも。【由来】ガンメンブサイクのロン毛ガンブロン【使用例】「ガンブロンだけはムリ～～。」
141,鬼女,"【意味】鬼女（きじょ）とは、既婚女性のこと。主に2ちゃんねるの既婚女性板（鬼女板）のユーザー、または既婚女性板そのものを指す。既婚女性板の内容は、芸能人のゴシップや日頃の生活・夫に対する愚痴など過激なものが多い。毒男と違い自称することはない。『結婚を機に自己中心的・攻撃的な性格に豹変し、その様子が鬼のよう』という【意味】も含まれるので、使用には注意が必要。【由来】既婚女性の""既""と""鬼""をかけて鬼女【使用例】「鬼女の行動力パネェ」"
142,きめぇ,きめぇとは、ネットでよく使用される若者言葉です。【流行した時期】2010年頃～【意味】気持ち悪い、の略。他に同意の言葉として【キモい】【キショい】【キモス】などがある。その時代によって流行り廃りがある。【由来】キモいが時代とともに派生したもの。【使用例】A「うんち踏んじゃった。」B「きめぇwwwww」自虐的に使われることもある。「クリスマス一人でシャクだから、京王プラザ泊まってやったぜ。俺きめぇ。」
143,きゃわたん、かわたん,"きゃわたんとは、女子中高生ケータイ流行語大賞2011にノミネートされた若者言葉です。【意味】かわいい、という【意味】。『きゃわたーん』と伸ばし棒がつくこともある。""かわたん""も同意。子犬などの可愛い動画の一言コメントで『きゃわ』『きゃわわ』と略して使われることも。【由来】可愛いきゃわいい　+　若者言葉特有の接尾辞「～たん」→　きゃわたん【使用例】「この服、マジきゃわたん。」"
144,キュン死に,キュン死にとは、主に若い女性が使う若者言葉です。【意味】胸がキュンキュンして、死にそうになるほど好きになること。かわいいものを見たときにも使います。【由来】ラブ・コンという少女マンガの主人公が使っていたのが【由来】。【使用例】「キュン死にしちゃうプロポーズの言葉って何だと思う？」「パンダの赤ちゃんって、かわい過ぎてキュン死にしちゃうよね。」関連商品ラブ・コン 1 (マーガレットコミックス (3487))posted with ヨメレバ中原 アヤ 集英社 2002-03-25    AmazonKindle楽天ブックスhontoブックオフe-honラブ★コン【廉価版】 [DVD]posted with カエレバ小池徹平 video maker(VC/DAS)(D) 2008-02-22    Amazon楽天市場Yahooショッピング価格.com
145,きよぶた,【意味】きよぶたとは、清水の舞台から飛び降りる、の略。覚悟を決めて行動するときに使う言葉。清らかな豚の略ではない。清水とは、京都にある清水寺のこと。【由来】きよみずのぶたいから飛び降りるきよぶた【使用例】「きよぶたでコクって良かった～。」
146,キョロ充,キョロ充とは、ネットで使われる若者言葉です。【意味】食堂やクラスで、知り合いがいないかキョロキョロしている人のことを揶揄した言葉。主に大学生に対して使われる。リア充とは違い否定的な【意味】なので、使うときは注意しましょう。【由来】自分はリア充だと思っているキョロキョロしている人キョロ充【使用例】「キョロ充には、学食で一人になったら恥、という強迫観念のようなものがあるらしい。」
147,ギラッチ,ギラッチとは、男性に関する若者言葉です。【流行した時期】2011年【意味】男性の欲望、とりわけ性欲のこと。【由来】ダイヤモンド☆ユカイさん発案の言葉。男性のギラギラした性欲を、ユーモアを交えて表現したもの。女性バージョンも考え中らしい。【使用例】「浮気は大部分がギラッチが原因らしいよ。」
148,ぐうかわ,"【意味】ぐうかわとは、とてもカワイイ、という【意味】。""ぐう""は強調を【意味】する接頭辞として使われる。【由来】ぐうの音も出ないほどかわいいぐうかわ元々は、2ちゃんねるの野球スレッドで「ぐう畜（ぐうの音も出ないほどの畜生）」という言葉が流行し、ぐう～という接頭辞が派生していった。【使用例】子猫の写真を見て「ぐうかわ！」"
149,草不可避,"【意味】草不可避（くさふかひ）とは、笑わずにはいられない、という【意味】。ネットでは、""笑い""を【意味】するwwwwwwという表現方法があり、それを""草""と呼ぶことがある（wwwが草に見えることから。関連語：草生えた）。それを避けられない、つまり笑いをこらえることができない、という【意味】になる。他にも、涙不可避（泣かずにはいられない）などの派生語もある。【由来】草（www）を回避できない草不可避【使用例】「このゲーム草不可避」"
150,クチャラー,"クチャラーとは、食べ方に関する若者言葉です。【意味】クチャクチャと音を立てて食べる人のこと。食事の席で嫌われるマナー違反のひとつ。他のマナー違反として、肘をついて食べる、片手だけで食べる、お皿に顔を近づけて食べる（犬食い）、等がある。【由来】咀嚼音""クチャクチャ""+人を表す""er""→クチャラー【使用例】「気になってる人がクチャラーだったら、一気に冷めるよね。」"
151,クレカ,【意味】クレカとは、クレジットカードのこと。アメリカではクレヒスが重要視されている。【由来】クレジットカードの略クレカ【使用例】「最近のクレカは審査早いよね。」
152,グンマー,【意味】グンマーとは、群馬県のこと。ネットでは、群馬を未開の地としてネタにして、アフリカ系原住民族や密林の写真と一緒に紹介されることが多い。群馬 - Google 画像検索もちろんこれらは事実ではなく、不快に思う人（特に群馬県民の方）もいるので使用には注意が必要。関連語：トンキン【由来】以下の2ちゃんねるのスレッドがきっかけで広まった495 : おさかなくわえた名無しさん[sage] : 2010/02/26(金) 19:47:03 ID:Pk8znbOq夜中に町をプラプラしてたら警察に捕まった。パトカーが俺のそばに止まって警官が2人出てきて俺を囲んだ。警「ドゥーユーハヴパスポート？」俺「ノー」すかさず確保される俺。警「ニホンゴワカル？」俺「はい」警「どこから来たの？」俺「…ぐんま」警「ミャンマー？」俺「ぐんま」警「グンマーね。ビザは持ってるの？」俺「持ってないです」警「はい、じゃあパトカー乗って」パトカーに乗る俺。警「名前は？」俺「山田太郎（仮名）」警「日系人？」俺「日本人です」警「え？」俺「日本人ですよ」警「…えっ？」俺「免許証見ます？」免許証を見せる俺。絶句する警官。警「…すいませんでした…不法入国の人かと思って…」警「…あの、その、お顔とかが、ちょっと外国の方みたいだったので…」俺「帰っていいすか？」警「…はい…。お気をつけて…」それでやっと解放された。その日を境に俺のあだなは「ネパール」から「グンマー」になった。 引用元：http://unkar.org/r/kankon/1263567825【使用例】「ついにグンマーに行ってきたぞ。」
153,ケアメン,ケアメンとは、男性に関する若者言葉です。【意味】家族（親、妻、兄弟など）の介護をする男性のこと。介護福祉士の男性。【由来】育児に積極的な男性、イクメンを推し進めたもの。ケアメンは『人のために働ける介護をすれば人生が一層豊かになる』と考えており、世間的にも介護のイメージは変わりつつある。【使用例】「結婚相手に選ぶなら、やっぱケアメンでしょ。」
154,激おこぷんぷん丸,"【意味】激おこぷんぷん丸とは、激しく怒っていること。オコの派生語。٩(๑ ^ ́๑)۶のアスキーアート（顔文字）と一緒に用いられることもある。おこ→マジおこ、激おこ（とても怒っている）→激おこぷんぷん丸（激しく怒っている）、と段階的に派生。若い女性を中心にツイッターやメール等で使われている。【由来】激（とても）+　おこ　+　怒りの様子を表す""ぷんぷん""激おこぷんぷん丸丸は語感をよくするために付けられた模様。【使用例】「【激おこぷんぷん丸٩(๑ ^ ́๑)۶】彼氏浮気してやがった。」"
155,ケモナー,ケモナーとは、人を表す若者言葉です。【意味】狼男のように、獣がベースとなって擬人化されたキャラクターが好きな人のこと。うさみみや猫耳などをつけて人間を獣っぽくしたキャラクター好きは、ケモナーとは言わない。人によっては引かれてしまうこともあるので、使用には注意が必要。【由来】ケモノ　+　人を表す『～er』ケモナー【使用例】「バファローベルが可愛くて、ケモナーに目覚めそう。」
156,ゲロイン,【意味】ゲロインとは、アニメや漫画で嘔吐（ゲロ）してしまう女性キャラクターのこと。女性キャラであればヒロインでなくとも使われる。関連語：リバる、マーライオン【由来】ゲロ　+　ヒロインゲロイン【使用例】「最初のゲロインはめぞん一刻の音無響子さんらしいよ。」
157,賢者タイム,賢者タイムとは、ネットでよく使われる若者言葉です。【意味】性交・自慰行為後に訪れる、男性特有の喪失感や嫌悪感を感じる時間帯のこと。『ハイパー賢者タイム』と言うことも。【由来】このときの男性は物事を冷静に捉えるようになり、その雰囲気がまるで賢者のようだから。【使用例】「賢者タイムが原因で別れるカップルは多いらしいよ。」
158,校長先生,校長先生とは、合コンで使われる若者言葉です。【意味】話が長くて、面白みのない人のこと。関連語：情熱大陸主に、自分のバイオグラフィや夢など、他人の興味のない話を長々とする人を指す。【由来】校長先生の話はだいたいつまらない、という一般的な認識から。【使用例】「合コンに校長先生がいるとテンポ悪くなるよな。」
159,午後夢中,午後夢中とは、昼下がりに使われる若者言葉です。【意味】午後になると眠たくなる様子。五里霧中をもじった言葉。【由来】午後になると夢の中にいるように眠い午後夢中【使用例】「春は午後夢中がハンパないから困る。」
160,コピペロス,コピペロスとは、ネットで使われる若者言葉です。【意味】ポケモンブラック・ホワイトに登場する『ボルトロス』『トルネロス』『ランドロス』のこと。この3体は、色と持ってる武器が違うだけでフォルムが同じであることから「ただのコピペじゃねーか」と、揶揄してこう呼ばれる。しかし、ブラック2・ホワイト2で「れいじゅうフォルム」というシステムが導入され、コピペではなくなった。【由来】フォルムがコピペ　+　～ロスコピペロス【使用例】「コピペロスは使い所に困るんだよね。」
161,コロンブス,コロンブスとは、合コンで使われる若者言葉です。【意味】遠くから合コンに来た不細工の人のこと。隠語ですが、使用するときは注意しましょう。【由来】コロンブス（遠くから来た）+　ブス【使用例】「昨日の合コンはコロンブスばっかりだったな。」
162,ガクブル（gkbr）,ガクブルとは、ネットで使われる若者言葉です。【意味】ガクガクブルブルの略。恐怖感を表す擬態語。AA（顔文字）は((((;゜Д゜)))またgkbrと表記されることもあるが、これにはゴキブリ（gokiburi）の【意味】もある。【由来】ガクガクブルブルガクブル（gakuburu）→　gkbr【使用例】「ガクブル((((;゜Д゜)))この写真怖すぎる。」
163,画像ハラデイ,"【意味】画像ハラデイとは、画像を貼ってくれ、という【意味】。2ちゃんねる等の掲示板において、画像が欲しいときや、画像が貼られるべきところで貼られていないときに使われる。ハラデイはロイ・ハラデイ投手（メジャーリーガー）から来ている。このことから野球関連の掲示板で使われていたが、今では野球に限らず使われる。【由来】2ちゃんねるのAAキャラである麻呂の「画像も貼らずにスレ立てとな」→　画像も""貼らないで""とハラデイをかけて【使用例】A「この公園クソワロタwwww」B「画像ハラデイ」"
164,過疎る（かそる）,"【意味】過疎るとは、人や物が少なくなること。ギャル語では主に、中年男性の頭皮が薄くなることを指す。ネットでは、人気のあった掲示板やサイトがあまり利用されなくなったときに使う。【由来】極端に人口が減少する""過疎""　+　動詞化の接尾辞""る""過疎る【使用例】「あの先生頭過疎ってない？」"
165,ガチ,"【意味】ガチとは、後に続く言葉の【意味】を強める接頭辞。ニュアンスは""マジ（本気）""よりも強い。または、物事に真剣に取り組む様子。『ガチ』『ガチで～』『ガチに～』と使うことが多い。関連語：ガチ勢【由来】ガチンコ（=真剣勝負）のガチ【使用例】「今日のテストガチでやべー。」「あいつら文化祭だけはガチだからな。」"
166,ガチ勢,ガチ勢とは、ゲームに関する若者言葉です。【読み方】ガチゼイ【意味】主にゲームに関して、大会で優勝するため多くの時間（とお金）をかけ、プロ並みの実力の人。あくまでアマチュアゲーマーを指す言葉で、ゲームでお金を稼いでいるプロには使わない。反意語:エンジョイ勢、ノリ勢、にわか【由来】極めるためにガチな姿勢でゲームをする人たち（勢）ガチ勢【使用例】「ぷよぷよとかはガチ勢とやったら泣く事になるよな。」
167,がちばな,【意味】がちばな（ガチバナ）とは、実話、本当の話という【意味】。関連語：ガチ【由来】ガチな話、の略がちばな【使用例】「それってがちばな？」（それは本当ですか？）
168,壁ドン,壁ドンとは、ネットやツイッターで使われる若者言葉です。読み方：かべどん【意味】①壁をドンと叩き音を出すこと。隣の部屋が音楽、大声などでうるさいときに、抗議の【意味】で行われる。②相手を壁に追い詰めて壁に手をやり、逃げ場をなくすこと。少女漫画などで俺様系男子がよくやる。現実では、付き合いが浅い段階でやると十中八九嫌われるので注意。【由来】壁をドンと叩く壁ドン【使用例】①「壁ドンに壁ドンで返すと余計うるさくなるよね。」②「壁ドンって効果ありそうだな。ただしイケメンに限るけど。」
169,カワイソス,【意味】カワイソスとは、可哀想という【意味】。「可哀想。」と言うよりも深刻さがないので、幾分気軽に使われる。主に、2ちゃんねる等の掲示板で使われ、（´・ω・）ｶﾜｲｿｽ という顔文字と共に表記することが多い。【由来】『かわいそう』が派生してカワイソス【使用例】A「付き合って3日で彼女に振られた…orz」B「（´・ω・）ｶﾜｲｿｽ」
170,希ガス,【意味】希ガスとは、気がする、という【意味】。2ちゃんねるなどで使われる。元々希ガスは、化学で18族元素（ヘリウム・ネオン・クリプトン・アルゴン・キセノン・ラドン）のこと。【由来】気がする気がす希ガス【使用例】「この流れはヤバイ希ガス。」
171,ギシアン,not found
172,キャッキャウフフ,"キャッキャウフフとは、ネットで使われる若者言葉です。【意味】男女、または女性同士で仲よくおしゃべりしている様子。キャッキャもウフフも女性を表す擬音語なので、男性同士でのおしゃべりでは使われない。ギシアンと似ているがギシアンよりも、ポジティブな【意味】で使われる。【由来】女性同士が会話している擬音語""キャッキャ""+""ウフフ""キャッキャウフフ【使用例】「キャッキャウフフしてるのを見ると、日本は平和だって思えるよな。」「キョロ充はキャッキャウフフを一番気にしているらしい。」"
173,ぐぐる,【意味】ぐぐるとは、インターネットの検索エンジンGoogleで調べること。今ではグーグルにこだわらず、ネットで検索することを指す。類義語：ヤフる（Yahoo!で調べる）【由来】【グーグルで検索する】が短縮されてぐぐる【使用例】「ちょっとわからないので、後でぐぐっときます。」
174,Google先生,"【意味】Google先生とは、Googleのこと。グーグル先生に聞く=Googleで検索する関連語：ぐぐる、ggrks【由来】グーグルで検索すればたいていの問題は解決する。その問題解決能力を敬い、Googleを擬人化して""先生""と呼んでいる。【使用例】A「これどういう【意味】？」B「Google先生に聞いてみよう。」"
175,クラオタ,【意味】クラオタとは、クラシック音楽が大好きな人のこと。クラシックオタクの略。クラヲタとも。特徴は『オーディオ機器に大金をかける』『名盤レコードを多数所有』『音楽雑誌を定期購読している』など。ネットではクラオタ=高慢、と思われがちで若干嫌われる傾向がある。関連語：オタ充、ドルオタ、声オタ【由来】クラシック　+　オタククラオタ【使用例】「クラオタには男が多いイメージがあるよね。」
176,クレヒス,【意味】クレヒスとは、今までのクレジットカードの使用履歴のこと。クレジットヒストリーの略。毎月定期的にクレジットカードを利用し、延滞もない場合は良いクレヒスになり、新しいカードも作りやすくなる。逆に延滞が多いと悪いクレヒスになり、強制解約されたり審査にも通りにくくなる。アメリカでは、ローン審査はもちろん、出世や就職に影響するほど重要視されている指標。【由来】『クレ』ジット『ヒス』トリークレヒス【使用例】「これからの時代はクレヒスが大事だよな。」
177,減築,減築（げんちく）とは、リフォームの際に使われる言葉です。【意味】家の一部を減らすこと。増築の反意語。子供が独立し、夫婦二人暮らしになったのをきっかけに行われることが多い。二階建ての二階部分をなくし、平屋にするのが一般的。【減築のメリット】・階段の登り下りがなくなるので生活が楽になる・掃除が楽・耐震性アップ・延べ床面積が減るので固定資産税が安くなる【由来】増築の反意語【使用例】「老後のことを考えたら減築したほうが便利だよね。」関連商品減築リフォームでゆうゆう快適生活―住まいをコンパクトに リフォームカレッジ「減築」篇 (リフォームカレッジ 減築篇)posted with ヨメレバ西田 恭子 アーク出版 2008-02    Amazon楽天ブックス7netbk1ブックオフ図書館
178,グロかわいい,グロかわいいとは、主に若い女性が使う言葉です。【意味】グロくて（気持ち悪くて）かわいい。気持ち悪いんだけどなんとなくカワイイ画像や、目玉や臓器などをモチーフにしたファッションアイテム等を指す。ギャル語では、本来可愛くないものをカワイイという【～かわいい】という形がよく出てきます。ex.）キモかわいい【由来】グロくてかわいい、の略。さらに『グロかわ』と略すこともある。【使用例】「グロかわいいアクセサリーは、ファッションのワンポイントに最適！」
179,告る（コクる）,【意味】告る（こくる）とは、告白する、という【意味】。主に、好意を持つことを異性に告げる愛の告白を指し、「実はお前は本当の息子じゃないんだ」という類の告白は、コクるとは言わない。【由来】告白する告る【使用例】「いい加減コクっちゃえよ～。」
180,個人プレー,個人プレーとは、合コンで使われる若者言葉です。【意味】合コンにおいて、自分が気になる異性だけにアプローチすること。あまりに個人プレーが過ぎると、異性だけでなく一緒に来た仲間にも嫌われるので注意しましょう。【由来】スポーツの個人プレー（チームの輪に関係なく動いてしまうプレイスタイル）が【由来】。【使用例】A「今日の合コンは気合入れていくぜ！」B「個人プレーはなしで頼むぜ。」
181,コスメティックバイオレンス,コスメティックバイオレンスとは、化粧に関連した若者言葉です。【意味】①化粧品や香水をつけすぎすることで、周囲にデパートの1階のような匂いをふりまくこと。②バスや電車など、公共の場でメイクをすること。【由来】過剰な化粧からくる匂いを暴力と捉えて。【使用例】A「新しい香水買っちゃった♪」B「つけ過ぎはコスメティックバイオレンスになるから気をつけようね。」
182,コスROM（コスロム）,【意味】コスROM（コスロム）とは、コスプレROMの略。コスプレして撮った写真や動画をCD-ROM等にコピーしたもの。主にコミックマーケット（世界最大級の同人誌即売会）で販売される。内容が過激で発禁（発売禁止）になるケースもある。【由来】コスプレROMコスROM【使用例】「コスROMも過激なものが多くなってきたよね。」
183,こだまでしょうか？,こだまでしょうか？は、CMから流行った若者言葉です。【流行した時期】2011年3月【意味】自分が言ったことを相手も同じように言うこと。【由来】3.11東日本大震災後、テレビCMはACのものだけになり、そのときに流れたCMの一節。「馬鹿っていったら、馬鹿って言う。遊ぼうって言ったら、遊ぼうって言う。こだまでしょうか？いいえ、誰でも。」から。【使用例】同じことが繰り返されたときに使えます。「昨日も今日も占いが1位でした。こだまでしょうか？」
184,こっちみんな,こっちみんなとは、ネットで使われる若者言葉です。【意味】サイト（パソコン）を見ている人のほう（正面）を向いている画像やアスキーアート、動画などに対するコメントとして使われる。顔文字では、( ﾟдﾟ )がよく利用される。【由来】顔文字がこちらを見ているから【使用例】　　(　ﾟдﾟ)　 「この顔にピンときたら１１０番か」＿(__つ/￣￣￣/＿　　　＼/　　　/　　　￣￣￣　　　( ﾟдﾟ )＿(__つ/￣￣￣/＿　　　＼/　　　/　　　￣￣￣「こっちみんなwwww」
185,コピペ,コピペとは、ネットで使う若者言葉です。【意味】①コピー＆ペーストの略。テキストなどをコピーし貼り付ける一連の作業のこと。②主にネットでは、2ちゃんねる等から引用してきた文章を指す。【由来】コピー・アンド・ペーストコピペ【使用例】①「そこはコピペしたほうが早いんじゃない？」②「笑えるコピペ下さい。」
186,小室（コムロ）する,小室するとは、若い女性が使っていた言葉です。【意味】徹夜すること。今ではあまり使われなくなった。小室するに限らず「テツヤ」という名前の有名人は、「苗字+する」で徹夜の【意味】として使われることがある。【由来】小室哲哉氏の『哲哉』と『徹夜』をかけて【使用例】「昨日小室したから超ねみ～～。」
187,さいてょ,さいてょとは、ネットで使われる若者言葉です。【意味】プロ野球選手斎藤佑樹の愛称。【由来】2011年の日本ハムvs阪神のオープン戦で斎藤選手が登板したときに、観客のファンが「SAITHO」と書かれた応援フラッグを持っていたことが【由来】。SAITHOとキーボードで文字入力すると『さいてょ』になる。正しくはSAITOH。斉藤投手には他にもカイエン青山という愛称もある。【使用例】「さいてょは日本を代表する選手になる気がする。」
188,サークルクラッシャー（サークラ）,【意味】サークルクラッシャーとは、ほとんど男性しかいないグループ（サークルなど）に入ってきた、一人もしくは少数の女性のこと。サークラと略すこともある。【由来】少数の女性を巡って男性同士の関係が悪化し、サークルが駄目になることから。その女性を糾弾する言葉ではなく、男性の友情が崩れていく様子を揶揄する言葉。【使用例】「ついにウチのダンボール研究会にも女の子が入った。サークラにならなきゃいいけど。」
189,サーセン,サーセンとは、ネットで使われる若者言葉です。【意味】すいません、という【意味】。「すいません」を体育会系風の砕けた言い回しにしたもの。ニュアンスとしては「あ、ワリッ」と軽く謝る感じ。軽いノリで相手をおちょくっている風にも聞こえるので、正式な謝罪の場では使えない。他の砕けた言い方としては、ちわー（こんにちは）、あざーす（ありがとうございます）、オナシャス等がある。【由来】すいませんすいやせんさーせんサーセン【使用例】２ちゃんねるでよく使われる。「ただの釣りでした。サーセンwwwww」
190,雑食系男子（女子）,【意味】雑食系男子（女子）とは、恋愛に積極的な肉食系男子と消極的な草食系男子の中間の恋愛観を持つ男性のこと。また、「女性なら誰でもイケるぜ」というストライクゾーンの広い女好きな男性を指すこともある。関連語：ロールキャベツ系男子、仙人男子【由来】肉食でもあり草食でもある=雑食雑食系男子【使用例】「結局雑食系男子が一番人気あるよね。」
191,さとり世代,【意味】さとり世代とは、無欲な若者を指す言葉。特徴は『車に興味が無い』『酒・タバコをしない』『服にお金をかけない』『旅行もしない』『飲み会・外食は贅沢と考える』など。草食系男子とほぼ同意。【由来】（無駄だと）悟っている世代　+　ゆとり世代をもじってさとり世代山岡拓氏著『欲しがらない若者たち』について書かれた2ちゃんねるのスレッドで生まれた言葉【使用例】「さとり世代と団塊の世代は話合わないよね。」
192,サビ残,"【意味】サビ残（さびざん）とは、サービス残業の略。手当がつかない時間外労働のことで、れっきとした違法行為。""錆残""と表記されることも。【由来】サービス残業サビ残【使用例】「うちの会社サビ残多いんだよな～。」"
193,サユリスト,サユリストとは、ファンを表す言葉です。【意味】吉永小百合さんのファンのこと。【由来】サユリ（小百合）+リスト（人を表す接尾辞『list』～な人、主義者）→　サユリスト【使用例】「芸能界にも自他共に認めるサユリストがけっこういるよね。」関連商品夢の続きposted with ヨメレバ吉永 小百合 世界文化社 2007-11-27    Amazon楽天ブックス7nethontoブックオフe-hon図書館
194,しくる、しくった,"【意味】しくるとは、失敗する、という【意味】。『しくじる』の略語。主に過去形（しくった）で使う。【由来】しくじったしくった【使用例】「しくった～。あっちの店のほうが5,000円も安かったorz」"
195,自炊,【意味】自炊（じすい）とは、所有する書籍や雑誌を裁断機で切り、スキャナーを使って個人的に電子化すること。データ化することで、大量の本をiPadやKindleなどの電子書籍ツールで持ち運ぶことができる。※自炊したデータを他人に譲渡、売買する行為は違法です。【由来】自分でデータを吸い出す自吸い自炊【使用例】「今年の大掃除は、自炊がメインになりそうだな～」関連商品FUJITSU ScanSnap S1500 Acrobat X 標準添付 FI-S1500-Aposted with カエレバ 富士通 2011-10-22    Amazon楽天市場Yahooショッピングヤフオク!価格.comプラス 断裁機 裁断幅A4 PK-513L 26-106posted with カエレバ プラス 2009-09-01    Amazon楽天市場Yahooショッピングヤフオク!価格.com
196,自宅警備員,"自宅警備員とは、『ネット流行語大賞2007』で7位になった若者言葉です。【意味】引きこもりやニートのこと。引きこもりで外に出ないことを、""自宅を警備している""と表現→自宅警備員【由来】元ライブドア社長の平松庚三氏の退社時のコメントで、自分を「自宅警備員」と呼んだのが【由来】とする説が有力。【使用例】「クビになったから、明日から自宅警備員かぁ。」"
197,ジト目,"【意味】ジト目（じとめ）とは、相手を懐疑的に""じと～""っと見つめる目や表情のこと。主に2次元（アニメや漫画）の女性キャラが、疑いや軽蔑、呆れ、不快感など負の感情を伴った眼差しで目を細める表情を指す。【由来】じと～っと見つめる目ジト目【使用例】「ジト目って意外といいよな。」"
198,地雷,地雷（じらい）とは、主にネットで使われる若者言葉です。【意味】関わったり、近づいたりすると痛い目にあう、という【意味】。人や物を対象に使われる。【由来】地雷はミサイルやバズーカと違い、位置を知っていて気をつければ回避可能であることから。【使用例】「あいつは地雷っぽいからやめたほうがいいよ。」A「昨日買ったゲームどうだった？」B「お金の無駄だった･･･。ただの地雷ゲームだったよ。」
199,渋谷バスケットボールストリート,渋谷バスケットボールストリート（バスケ通り）とは、地名です。【意味】渋谷センター街の新しい名前。センター街の【怖い】【汚い】イメージを払拭するために、2011年9月26日に改名された。渋谷センター街といえば若者文化発祥地として、また過去に変造テレカや合法ドラックを売る外国人露天商がはびこる「怖い街」「汚い街」という危険なイメージがついてしまいました。そこで、当組合はセンター街パトロール隊（SCGP） を結成し防犯活動とともに、路上へのはみ出し看板や商品の是正に力を入れ「安全で安心な街づくり」を行いました。又、1年365日1日6時間の徹底した清掃活動を実施し「きれいな街づくり」を目指しました。この活動により「安全・安心・きれいな街づくり」ができたと好評も得ており自負しておりましたが実は今だに悪いイメージが払拭されないでいる事実を知らされました。そこでイメージ戦略として通りにスポーツの名前を付ける全国的にも珍しい新たな試みを行うことにしました。引用元：【 渋谷センター街 】ウェブサイト【由来】バスケットボールの健全なイメージから。【使用例】「バスケ通りに服見にいかない？」
200,しまラー,"しまラーとは、女子中高校生を中心に使われている若者言葉です。【意味】ファッションセンターしまむらのファッションに身を包んでいる人のこと。【由来】【しまむら】と【～という人】という【意味】の""ラー""（アムラーetc.）を組み合わせた言葉。しまむらは、今も昔も高品質な洋服を安く提供しているが、不景気になってからその安さが改めて女子中高生に注目されている。【使用例】「最近しまラー増えたよね。」"
201,ジベタリアン,ジベタリアンは、女子高生を中心に使われる若者言葉です。【意味】地べたに座っている人のこと。【由来】地べた　＋　～の人という【意味】の「～リアン」（ベジタリアンなど）【使用例】「夏はジベタリアンが多くなるよね～。」
202,ジロリアン,ジロリアンとは、ラーメン二郎に関する若者言葉です。【意味】ラーメン二郎をこよなく愛する人のこと。ラーメン二郎は店舗によって味が違うため、多くの店をまわり違いを楽しんだりする。【由来】二郎　+　～リアン（人を表す接尾辞）ジロリアン【使用例】「ジロリアンは専門用語をよく使ってるよね。」
203,社内ニート,【意味】社内ニートとは、会社にいるのに仕事がなく、ニートのように暇であまり働いていない人のこと。一度雇うと解雇しづらいことやコネなどが社内ニートが生まれる原因とされている。【由来】社内のニート社内ニート【使用例】「そろそろ社内ニートから脱出したい。」
204,ジョジョラー,ジョジョラーとは、漫画に関する若者言葉です。【意味】漫画『ジョジョの奇妙な冒険』の大ファンの人。中川翔子さんなど、芸能人にもジョジョラーは多い。ジョジョラーはジョジョ語（漫画に出てくる特徴的な言葉）を使い、写真を撮るときはジョジョ立ち（キャラクターの独特なポーズ）をする。【主なジョジョ語】だが断る！無駄無駄無駄無駄無駄！貧弱！貧弱！お前は俺を怒らせた。【由来】ジョジョ　+　ラー（人を表す接尾辞）→　ジョジョラー【使用例】「アニメ化されてからジョジョラーが増えたよな。」関連商品ジョジョの奇妙な冒険 Vol.4  (第2部オリジナルサウンドトラック、全巻購入特典フィギュア応募券付き)(初回限定版) [Blu-ray]posted with カエレバ杉田智和 ワーナー・ホーム・ビデオ 2013-04-26    Amazon楽天市場YahooショッピングYahooオークション価格.comJOJOmenon (集英社ムック)posted with ヨメレバ荒木飛呂彦 集英社 2012-10-05    Amazon楽天ブックスhontoブックオフe-hon
